经度,纬度,台风强度,台风等级,风速,气压,移动方向,移动速度,天,小时
126.5,18.5,台风(TY),12.0,35.0,976.45,西北,19,1,0
125.5,19.3,台风(TY),13.0,41.0,976.45,西北,19,1,6
124.5,20.0,强台风(STY),14.0,43.0,976.45,西北,19,1,12
123.7,20.7,强台风(STY),15.0,48.0,976.45,西北,19,1,18
123.0,21.5,超强台风(Super TY),16.0,53.0,976.45,西北,19,2,0
122.5,22.5,超强台风(Super TY),16.0,53.0,976.45,西北,19,2,6
122.0,23.5,强台风(STY),14.0,46.0,976.45,西北,19,2,12
121.5,24.2,台风(TY),13.0,38.0,976.45,西北,19,2,18
121.0,25.0,强热带风暴(STS),11.0,30.0,976.45,西北,19,3,0
120.5,25.5,强热带风暴(STS),10.0,25.0,976.45,西北,19,3,6
120.0,26.0,强热带风暴(STS),10.0,25.0,976.45,北,19,3,12
119.2,26.2,热带风暴(TS),9.0,23.0,976.45,西北,19,3,18
118.5,26.5,热带风暴(TS),9.0,23.0,976.45,西北,19,4,0
118.0,26.8,热带风暴(TS),8.0,20.0,976.45,西北,19,4,6
117.5,27.5,热带风暴(TS),8.0,20.0,976.45,东南,19,4,12
130.5,14.5,热带低压(TD),6.0,12.0,976.45,北,19,7,12
129.3,14.7,热带低压(TD),7.0,15.0,976.45,北,19,7,18
128.0,15.0,热带低压(TD),7.0,15.0,976.45,西北,19,8,0
126.8,15.9,热带低压(TD),7.0,17.0,976.45,西北,19,8,6
126.0,17.0,热带风暴(TS),8.0,20.0,976.45,西北,19,8,12
125.5,17.7,热带风暴(TS),9.0,23.0,976.45,西北,19,8,18
125.0,18.5,强热带风暴(STS),10.0,25.0,976.45,西北,19,9,0
124.5,18.8,强热带风暴(STS),10.0,28.0,976.45,北,19,9,6
124.0,19.0,强热带风暴(STS),11.0,30.0,976.45,西北,19,9,12
123.4,20.0,台风(TY),12.0,33.0,976.45,西,19,9,18
123.0,21.0,台风(TY),12.0,35.0,976.45,西北,19,10,0
122.5,21.5,强台风(STY),14.0,43.0,976.45,西北,19,10,6
122.0,22.0,强台风(STY),14.0,46.0,976.45,西北,19,10,12
121.3,22.8,台风(TY),12.0,35.0,976.45,西北,19,10,18
121.0,23.5,热带风暴(TS),9.0,23.0,976.45,西北,19,11,0
120.5,24.2,强热带风暴(STS),10.0,25.0,976.45,西北,19,11,6
120.0,25.0,强热带风暴(STS),10.0,28.0,976.45,西北,19,11,12
119.2,26.0,强热带风暴(STS),11.0,30.0,976.45,西,19,11,18
119.0,27.0,强热带风暴(STS),10.0,28.0,976.45,西,19,12,0
119.3,29.0,强热带风暴(STS),10.0,28.0,976.45,西,19,12,6
120.0,31.0,强热带风暴(STS),10.0,25.0,976.45,东北,19,12,12
122.5,32.5,强热带风暴(STS),10.0,25.0,976.45,东北,19,12,18
125.0,34.5,热带风暴(TS),9.0,23.0,976.45,东北,19,13,0
127.0,36.0,热带风暴(TS),9.0,23.0,976.45,东北,19,13,6
129.5,37.2,热带风暴(TS),8.0,20.0,976.45,南,19,13,12
133.0,38.5,热带低压(TD),7.0,17.0,976.45,东北,19,13,18
136.5,40.2,热带低压(TD),7.0,17.0,976.45,东北,19,14,0
140.0,42.0,热带低压(TD),7.0,15.0,976.45,东南,19,14,6
157.0,8.0,热带低压(TD),7.0,15.0,976.45,西北,19,10,0
156.0,8.5,热带低压(TD),7.0,15.0,976.45,西北,19,10,6
155.1,9.0,热带低压(TD),7.0,15.0,976.45,西北,19,10,12
154.2,9.6,热带低压(TD),7.0,15.0,976.45,北,19,10,18
153.0,10.0,热带低压(TD),7.0,17.0,976.45,北,19,11,0
151.8,10.3,热带低压(TD),7.0,17.0,976.45,北,19,11,6
150.5,10.5,热带低压(TD),7.0,17.0,976.45,北,19,11,12
149.2,10.7,热带风暴(TS),8.0,20.0,976.45,北,19,11,18
148.0,11.0,热带风暴(TS),8.0,20.0,976.45,北,19,12,0
146.8,11.2,热带风暴(TS),8.0,20.0,976.45,西北,19,12,6
145.7,11.7,热带风暴(TS),9.0,23.0,976.45,北,19,12,12
144.6,12.0,热带风暴(TS),9.0,23.0,976.45,西北,19,12,18
143.5,12.5,强热带风暴(STS),10.0,25.0,976.45,西北,19,13,0
142.3,13.0,强热带风暴(STS),10.0,28.0,976.45,北,19,13,6
141.0,13.5,强热带风暴(STS),10.0,28.0,976.45,北,19,13,12
139.7,13.9,强热带风暴(STS),10.0,28.0,976.45,西北,19,13,18
138.5,14.5,强热带风暴(STS),11.0,30.0,976.45,北,19,14,0
137.0,15.0,强热带风暴(STS),11.0,30.0,976.45,西北,19,14,6
135.7,15.8,强热带风暴(STS),11.0,30.0,976.45,西北,19,14,12
134.2,16.5,强热带风暴(STS),11.0,30.0,976.45,西北,19,14,18
133.0,17.5,强热带风暴(STS),11.0,30.0,976.45,西北,19,15,0
131.9,18.9,台风(TY),12.0,33.0,976.45,西北,19,15,6
130.8,20.0,台风(TY),12.0,33.0,976.45,西北,19,15,12
129.8,21.5,台风(TY),12.0,33.0,976.45,西北,19,15,18
129.0,23.0,台风(TY),12.0,33.0,976.45,西,19,16,0
128.4,24.5,台风(TY),12.0,33.0,976.45,西,19,16,6
128.3,26.1,台风(TY),12.0,35.0,976.45,西,19,16,12
129.0,27.8,台风(TY),12.0,35.0,976.45,东北,19,16,18
130.0,29.0,台风(TY),12.0,35.0,976.45,东北,19,17,0
132.0,30.9,台风(TY),12.0,33.0,976.45,东北,19,17,6
134.3,32.6,台风(TY),12.0,33.0,976.45,东北,19,17,12
136.5,34.4,强热带风暴(STS),11.0,30.0,976.45,东北,19,17,18
139.0,36.0,强热带风暴(STS),10.0,28.0,976.45,东北,19,18,0
142.9,38.0,强热带风暴(STS),10.0,28.0,976.45,东北,19,18,6
146.8,39.9,强热带风暴(STS),10.0,28.0,976.45,南,19,18,12
150.8,41.4,强热带风暴(STS),10.0,28.0,976.45,南,19,18,18
155.0,43.0,强热带风暴(STS),10.0,28.0,976.45,东北,19,19,0
158.2,44.4,强热带风暴(STS),10.0,25.0,976.45,南,19,19,6
161.6,45.8,热带风暴(TS),9.0,23.0,976.45,东北,19,19,12
164.8,47.3,热带风暴(TS),9.0,23.0,976.45,东北,19,19,18
168.0,49.0,热带风暴(TS),8.0,20.0,976.45,南,19,20,0
172.0,49.0,强热带风暴(STS),10.0,25.0,976.45,东北,19,20,6
174.0,50.0,强热带风暴(STS),10.0,25.0,976.45,东北,19,20,12
176.0,51.0,强热带风暴(STS),10.0,25.0,976.45,西南,19,20,18
113.5,17.0,热带低压(TD),7.0,17.0,976.45,西北,19,20,12
112.4,17.7,热带风暴(TS),8.0,20.0,976.45,西北,19,20,18
111.4,18.4,热带风暴(TS),9.0,23.0,976.45,西北,19,21,0
110.3,19.0,强热带风暴(STS),10.0,25.0,976.45,西北,19,21,6
109.4,19.6,热带风暴(TS),8.0,20.0,976.45,西北,19,21,12
108.3,20.3,热带风暴(TS),8.0,20.0,976.45,西北,19,21,18
107.3,20.8,热带低压(TD),7.0,17.0,976.45,东南,19,22,0
124.4,12.3,热带低压(TD),6.0,12.0,976.45,北,19,21,6
123.7,12.4,热带低压(TD),6.0,12.0,976.45,北,19,21,12
122.7,12.7,热带低压(TD),6.0,12.0,976.45,北,19,21,18
121.8,13.0,热带低压(TD),7.0,15.0,976.45,西北,19,22,0
121.0,13.4,热带低压(TD),7.0,15.0,976.45,北,19,22,6
120.0,13.8,热带低压(TD),7.0,17.0,976.45,西北,19,22,12
118.8,14.4,热带低压(TD),7.0,17.0,976.45,西北,19,22,18
117.7,15.1,热带风暴(TS),8.0,20.0,976.45,西北,19,23,0
116.8,15.7,热带风暴(TS),8.0,20.0,976.45,西北,19,23,6
116.0,16.3,热带低压(TD),7.0,17.0,976.45,西北,19,23,12
115.0,17.2,热带低压(TD),7.0,15.0,976.45,西北,19,23,18
113.5,18.4,热带低压(TD),6.0,12.0,976.45,西北,19,24,0
111.9,19.5,热带低压(TD),5.0,10.0,976.45,南,19,24,6
142.5,11.5,热带低压(TD),6.0,12.0,976.45,西北,19,25,0
141.6,12.0,热带低压(TD),6.0,12.0,976.45,西北,19,25,6
140.8,12.5,热带低压(TD),6.0,12.0,976.45,西北,19,25,12
140.0,13.0,热带低压(TD),6.0,12.0,976.45,西北,19,25,18
139.0,13.5,热带低压(TD),6.0,12.0,976.45,西北,19,26,0
138.1,14.0,热带低压(TD),6.0,12.0,976.45,西北,19,26,6
137.2,14.6,热带低压(TD),7.0,15.0,976.45,西北,19,26,12
136.4,15.0,热带风暴(TS),8.0,20.0,976.45,西北,19,26,18
135.5,15.5,热带风暴(TS),9.0,23.0,976.45,北,19,27,0
134.5,15.8,强热带风暴(STS),10.0,25.0,976.45,西北,19,27,6
133.7,16.2,强热带风暴(STS),10.0,28.0,976.45,西北,19,27,12
132.9,16.6,强热带风暴(STS),11.0,30.0,976.45,西北,19,27,18
132.0,17.0,台风(TY),12.0,33.0,976.45,西北,19,28,0
131.4,17.3,台风(TY),12.0,35.0,976.45,西北,19,28,6
130.7,17.7,台风(TY),12.0,35.0,976.45,西北,19,28,12
130.1,18.0,台风(TY),13.0,38.0,976.45,西北,19,28,18
129.5,18.5,台风(TY),13.0,38.0,976.45,西北,19,29,0
128.5,19.2,台风(TY),13.0,41.0,976.45,西北,19,29,6
127.3,19.7,台风(TY),13.0,41.0,976.45,北,19,29,12
126.2,20.1,强台风(STY),14.0,43.0,976.45,北,19,29,18
125.0,20.5,强台风(STY),14.0,43.0,976.45,北,19,30,0
123.3,21.0,强台风(STY),14.0,46.0,976.45,北,19,30,6
121.8,21.5,强台风(STY),14.0,43.0,976.45,北,19,30,12
120.0,21.8,台风(TY),13.0,41.0,976.45,南,19,30,18
160.0,6.0,热带低压(TD),6.0,12.0,976.45,西北,19,28,0
159.0,6.5,热带低压(TD),6.0,12.0,976.45,西北,19,28,6
158.0,7.0,热带低压(TD),6.0,12.0,976.45,北,19,28,12
157.0,7.4,热带低压(TD),6.0,12.0,976.45,西北,19,28,18
156.0,8.0,热带低压(TD),7.0,15.0,976.45,西北,19,29,0
154.5,8.8,热带低压(TD),7.0,15.0,976.45,西北,19,29,6
153.0,9.5,热带低压(TD),7.0,15.0,976.45,西北,19,29,12
151.4,10.5,热带低压(TD),7.0,15.0,976.45,西北,19,29,18
150.0,11.5,热带低压(TD),7.0,15.0,976.45,西北,19,30,0
149.1,12.0,热带低压(TD),7.0,15.0,976.45,西北,19,30,6
148.5,12.5,热带低压(TD),7.0,17.0,976.45,西北,19,30,12
147.7,12.9,热带低压(TD),7.0,17.0,976.45,北,19,30,18
144.7,12.7,强热带风暴(STS),11.0,30.0,976.45,北,19,7,6
142.9,13.2,强热带风暴(STS),11.0,30.0,976.45,北,19,7,12
141.3,13.6,强热带风暴(STS),11.0,30.0,976.45,北,19,7,18
140.2,13.7,台风(TY),13.0,41.0,976.45,北,19,8,0
138.0,13.7,台风(TY),13.0,41.0,976.45,北,19,8,6
136.1,13.7,台风(TY),13.0,41.0,976.45,北,19,8,12
134.3,13.7,台风(TY),13.0,41.0,976.45,北,19,8,18
132.3,13.7,台风(TY),13.0,41.0,976.45,北,19,9,0
131.0,13.8,台风(TY),13.0,41.0,976.45,北,19,9,6
129.5,13.8,台风(TY),13.0,41.0,976.45,北,19,9,12
127.7,14.0,强台风(STY),14.0,46.0,976.45,北,19,9,18
125.9,14.6,超强台风(Super TY),16.0,51.0,976.45,北,19,10,0
124.4,15.0,超强台风(Super TY),16.0,51.0,976.45,西北,19,10,6
123.0,15.8,强台风(STY),14.0,46.0,976.45,西北,19,10,12
121.2,16.8,台风(TY),13.0,41.0,976.45,西北,19,10,18
119.4,17.8,台风(TY),13.0,41.0,976.45,西北,19,11,0
118.0,18.5,强台风(STY),14.0,46.0,976.45,西北,19,11,6
116.7,19.1,强台风(STY),14.0,46.0,976.45,西北,19,11,12
115.1,19.9,强台风(STY),14.0,46.0,976.45,西北,19,11,18
113.9,20.8,强台风(STY),14.0,46.0,976.45,西北,19,12,0
112.5,21.9,强台风(STY),14.0,46.0,976.45,西南,19,12,6
110.0,20.0,台风(TY),13.0,38.0,976.45,北,19,12,12
109.0,20.1,台风(TY),12.0,33.0,976.45,北,19,12,18
108.0,20.2,强热带风暴(STS),11.0,30.0,976.45,北,19,13,0
106.0,20.5,热带风暴(TS),9.0,23.0,976.45,西南,19,13,6
105.0,20.0,热带风暴(TS),8.0,20.0,976.45,西北,19,13,12
104.0,21.0,热带低压(TD),7.0,17.0,976.45,西北,19,13,18
103.5,22.0,热带低压(TD),7.0,15.0,976.45,南,19,14,0
164.9,11.2,热带低压(TD),7.0,15.0,976.45,北,19,8,0
163.0,11.7,热带低压(TD),7.0,17.0,976.45,北,19,8,6
161.4,12.3,热带风暴(TS),8.0,20.0,976.45,西北,19,8,12
159.6,13.1,热带风暴(TS),9.0,23.0,976.45,北,19,8,18
157.8,13.8,强热带风暴(STS),10.0,25.0,976.45,西北,19,9,0
157.0,14.3,强热带风暴(STS),10.0,28.0,976.45,西北,19,9,6
156.2,14.9,强热带风暴(STS),11.0,30.0,976.45,西北,19,9,12
155.3,15.7,台风(TY),12.0,33.0,976.45,西北,19,9,18
154.7,16.5,台风(TY),12.0,35.0,976.45,西北,19,10,0
153.8,17.3,台风(TY),13.0,41.0,976.45,西北,19,10,6
153.0,18.3,台风(TY),13.0,41.0,976.45,西北,19,10,12
152.5,19.2,强台风(STY),14.0,43.0,976.45,西北,19,10,18
152.2,19.8,强台风(STY),14.0,43.0,976.45,西,19,11,0
152.0,20.3,强台风(STY),14.0,46.0,976.45,西北,19,11,6
151.7,20.8,超强台风(Super TY),16.0,51.0,976.45,西,19,11,12
151.6,21.5,强台风(STY),15.0,48.0,976.45,西,19,11,18
151.6,22.0,强台风(STY),14.0,46.0,976.45,西,19,12,0
151.7,22.6,强台风(STY),14.0,46.0,976.45,东北,19,12,6
152.0,23.2,强台风(STY),14.0,46.0,976.45,东北,19,12,12
152.3,23.6,强台风(STY),14.0,46.0,976.45,东北,19,12,18
152.8,24.0,强台风(STY),14.0,46.0,976.45,南,19,13,0
153.3,24.2,强台风(STY),14.0,46.0,976.45,东北,19,13,6
154.0,24.5,强台风(STY),14.0,46.0,976.45,东北,19,13,12
154.7,24.8,强台风(STY),15.0,48.0,976.45,东北,19,13,18
155.6,25.2,超强台风(Super TY),16.0,51.0,976.45,南,19,14,0
156.4,25.4,强台风(STY),15.0,48.0,976.45,南,19,14,6
157.5,25.8,强台风(STY),14.0,46.0,976.45,东北,19,14,12
158.7,26.4,强台风(STY),14.0,43.0,976.45,南,19,14,18
160.2,27.0,台风(TY),13.0,41.0,976.45,东北,19,15,0
161.6,27.6,台风(TY),12.0,35.0,976.45,东北,19,15,6
162.6,28.3,台风(TY),12.0,33.0,976.45,东北,19,15,12
163.1,29.0,台风(TY),12.0,33.0,976.45,西,19,15,18
163.0,30.4,台风(TY),12.0,33.0,976.45,东北,19,16,0
164.0,31.2,台风(TY),12.0,33.0,976.45,东北,19,16,6
164.6,32.5,强热带风暴(STS),11.0,30.0,976.45,东北,19,16,12
166.3,34.0,强热带风暴(STS),11.0,30.0,976.45,东北,19,16,18
167.5,36.0,强热带风暴(STS),11.0,30.0,976.45,东北,19,17,0
168.5,38.0,强热带风暴(STS),11.0,30.0,976.45,东北,19,17,6
171.0,39.4,强热带风暴(STS),11.0,30.0,976.45,东北,19,17,12
172.0,40.0,强热带风暴(STS),10.0,28.0,976.45,东北,19,17,18
173.0,40.5,强热带风暴(STS),10.0,28.0,976.45,东北,19,18,0
174.0,41.2,强热带风暴(STS),10.0,25.0,976.45,东北,19,18,6
175.0,42.0,强热带风暴(STS),10.0,25.0,976.45,南,19,18,12
176.2,42.3,热带风暴(TS),9.0,23.0,976.45,南,19,18,18
177.5,42.5,热带风暴(TS),9.0,23.0,976.45,南,19,19,0
179.0,43.0,热带风暴(TS),8.0,20.0,976.45,西南,19,19,6
160.8,10.5,强热带风暴(STS),10.0,25.0,976.45,北,19,18,0
159.9,10.6,强热带风暴(STS),10.0,28.0,976.45,西北,19,18,6
159.2,10.9,强热带风暴(STS),10.0,28.0,976.45,西北,19,18,12
158.7,11.2,强热带风暴(STS),10.0,28.0,976.45,北,19,18,18
158.2,11.4,台风(TY),12.0,33.0,976.45,西北,19,19,0
157.5,12.0,台风(TY),13.0,41.0,976.45,北,19,19,6
156.3,12.2,台风(TY),13.0,41.0,976.45,北,19,19,12
153.4,12.6,强台风(STY),14.0,46.0,976.45,北,19,19,18
151.8,12.8,强台风(STY),14.0,46.0,976.45,北,19,20,0
149.4,13.2,超强台风(Super TY),16.0,51.0,976.45,西北,19,20,6
147.0,14.3,超强台风(Super TY),16.0,51.0,976.45,北,19,20,12
145.2,14.9,超强台风(Super TY),16.0,51.0,976.45,北,19,20,18
143.1,15.2,超强台风(Super TY),16.0,53.0,976.45,北,19,21,0
141.7,15.4,超强台风(Super TY),16.0,53.0,976.45,北,19,21,6
140.2,15.8,超强台风(Super TY),16.0,56.0,976.45,北,19,21,12
139.0,16.1,超强台风(Super TY),16.0,56.0,976.45,西北,19,21,18
137.5,16.8,超强台风(Super TY),17.0,59.0,976.45,北,19,22,0
136.3,17.0,超强台风(Super TY),17.0,59.0,976.45,西北,19,22,6
135.4,17.4,超强台风(Super TY),17.0,59.0,976.45,西北,19,22,12
134.1,18.0,超强台风(Super TY),17.0,59.0,976.45,北,19,22,18
133.0,18.3,超强台风(Super TY),17.0,59.0,976.45,西北,19,23,0
131.9,18.9,超强台风(Super TY),17.0,59.0,976.45,北,19,23,6
130.8,19.3,超强台风(Super TY),17.0,61.0,976.45,北,19,23,12
129.8,19.5,超强台风(Super TY),17.0,61.0,976.45,北,19,23,18
128.8,19.8,超强台风(Super TY),17.0,61.0,976.45,北,19,24,0
127.7,20.1,超强台风(Super TY),16.0,56.0,976.45,西北,19,24,6
126.1,20.9,强台风(STY),15.0,48.0,976.45,北,19,24,12
125.1,21.2,强台风(STY),14.0,43.0,976.45,西北,19,24,18
123.7,21.8,强台风(STY),14.0,43.0,976.45,北,19,25,0
121.8,22.1,强台风(STY),14.0,43.0,976.45,北,19,25,6
120.2,22.2,强台风(STY),14.0,43.0,976.45,西北,19,25,12
119.0,22.9,台风(TY),12.0,33.0,976.45,西,19,25,18
119.5,24.5,强热带风暴(STS),11.0,30.0,976.45,东北,19,26,0
122.0,26.5,强热带风暴(STS),10.0,28.0,976.45,东北,19,26,6
123.0,28.0,强热带风暴(STS),10.0,25.0,976.45,东北,19,26,12
124.5,29.0,热带风暴(TS),8.0,20.0,976.45,东北,19,26,18
126.0,30.0,热带低压(TD),7.0,15.0,976.45,东,19,27,0
127.0,18.0,热带低压(TD),6.0,12.0,976.45,西北,19,8,6
126.2,18.8,热带低压(TD),6.0,12.0,976.45,西北,19,8,12
125.4,19.6,热带低压(TD),7.0,15.0,976.45,西北,19,8,18
124.7,20.3,热带低压(TD),7.0,15.0,976.45,西北,19,9,0
124.3,21.0,热带低压(TD),7.0,17.0,976.45,西北,19,9,6
123.0,23.5,热带低压(TD),7.0,17.0,976.45,西,19,9,12
123.0,25.6,热带低压(TD),7.0,15.0,976.45,西,19,9,18
123.1,27.2,热带低压(TD),5.0,10.0,976.45,东南,19,10,0
143.0,17.0,热带低压(TD),7.0,17.0,976.45,西北,19,10,12
142.3,17.5,热带风暴(TS),8.0,20.0,976.45,北,19,10,18
140.7,18.0,热带风暴(TS),9.0,23.0,976.45,北,19,11,0
138.6,18.5,强热带风暴(STS),10.0,25.0,976.45,西北,19,11,6
137.8,19.2,强热带风暴(STS),10.0,28.0,976.45,西北,19,11,12
137.2,19.6,强热带风暴(STS),11.0,30.0,976.45,北,19,11,18
136.3,19.8,台风(TY),12.0,33.0,976.45,西北,19,12,0
135.6,20.3,台风(TY),12.0,35.0,976.45,西北,19,12,6
135.3,21.0,台风(TY),13.0,38.0,976.45,西,19,12,12
135.2,22.5,台风(TY),13.0,41.0,976.45,西,19,12,18
135.4,25.0,台风(TY),12.0,35.0,976.45,西,19,13,0
135.6,26.0,台风(TY),12.0,35.0,976.45,西,19,13,6
136.0,27.0,台风(TY),13.0,41.0,976.45,西,19,13,12
136.3,28.4,强台风(STY),14.0,46.0,976.45,西,19,13,18
136.8,29.9,强台风(STY),14.0,46.0,976.45,西,19,14,0
137.1,31.3,强台风(STY),14.0,46.0,976.45,西,19,14,6
137.4,32.2,台风(TY),12.0,35.0,976.45,东北,19,14,12
137.8,32.9,台风(TY),12.0,35.0,976.45,东北,19,14,18
138.1,33.5,台风(TY),12.0,33.0,976.45,东北,19,15,0
138.7,34.3,强热带风暴(STS),10.0,28.0,976.45,东北,19,15,6
140.2,35.8,强热带风暴(STS),10.0,25.0,976.45,东北,19,15,12
141.9,36.6,热带风暴(TS),8.0,20.0,976.45,东南,19,15,18
153.9,24.5,强台风(STY),14.0,46.0,976.45,北,19,14,0
153.1,24.6,强台风(STY),14.0,46.0,976.45,北,19,14,6
152.6,24.7,强台风(STY),14.0,46.0,976.45,北,19,14,12
151.7,24.7,强台风(STY),14.0,46.0,976.45,北,19,14,18
150.8,24.8,台风(TY),12.0,35.0,976.45,北,19,15,0
150.0,25.0,台风(TY),12.0,35.0,976.45,西北,19,15,6
149.2,25.5,台风(TY),13.0,38.0,976.45,西北,19,15,12
148.8,26.3,台风(TY),13.0,38.0,976.45,西,19,15,18
148.5,27.4,台风(TY),13.0,38.0,976.45,西,19,16,0
148.3,28.6,台风(TY),12.0,35.0,976.45,西,19,16,6
148.3,29.7,台风(TY),12.0,35.0,976.45,西,19,16,12
148.4,30.9,台风(TY),12.0,35.0,976.45,西,19,16,18
148.9,32.5,台风(TY),12.0,35.0,976.45,西,19,17,0
149.5,34.0,强热带风暴(STS),10.0,28.0,976.45,东北,19,17,6
150.0,35.0,热带风暴(TS),9.0,23.0,976.45,东北,19,17,12
150.2,35.2,热带风暴(TS),8.0,20.0,976.45,东北,19,17,18
150.4,35.3,热带低压(TD),7.0,15.0,976.45,西南,19,18,0
126.8,14.3,台风(TY),13.0,38.0,976.45,北,19,22,6
125.5,14.7,台风(TY),13.0,38.0,976.45,北,19,22,12
124.1,15.1,台风(TY),13.0,38.0,976.45,北,19,22,18
122.6,15.6,台风(TY),12.0,35.0,976.45,北,19,23,0
121.5,16.0,强热带风暴(STS),11.0,30.0,976.45,北,19,23,6
119.8,16.3,强热带风暴(STS),10.0,25.0,976.45,西北,19,23,12
118.2,17.1,强热带风暴(STS),10.0,25.0,976.45,北,19,23,18
116.4,17.6,强热带风暴(STS),10.0,28.0,976.45,北,19,24,0
114.7,18.2,热带风暴(TS),9.0,23.0,976.45,北,19,24,6
113.5,18.6,热带风暴(TS),9.0,23.0,976.45,西北,19,24,12
112.5,19.2,热带风暴(TS),8.0,20.0,976.45,西北,19,24,18
111.5,19.8,热带低压(TD),7.0,17.0,976.45,西北,19,25,0
111.0,20.5,热带低压(TD),7.0,17.0,976.45,南,19,25,6
133.2,21.0,台风(TY),13.0,41.0,976.45,北,19,29,6
132.7,20.8,台风(TY),13.0,41.0,976.45,北,19,29,12
132.0,20.7,台风(TY),13.0,41.0,976.45,北,19,29,18
130.1,20.7,强台风(STY),14.0,43.0,976.45,北,19,30,0
127.7,21.0,强台风(STY),14.0,46.0,976.45,北,19,30,6
127.0,21.2,强台风(STY),14.0,46.0,976.45,北,19,30,12
125.5,21.5,强台风(STY),14.0,46.0,976.45,西南,19,30,18
120.8,16.2,强热带风暴(STS),10.0,25.0,976.45,北,19,1,0
120.0,16.5,热带风暴(TS),9.0,23.0,976.45,西北,19,1,6
119.2,17.0,热带风暴(TS),9.0,23.0,976.45,西北,19,1,12
118.4,17.4,强热带风暴(STS),10.0,25.0,976.45,西北,19,1,18
117.7,18.0,强热带风暴(STS),11.0,30.0,976.45,西北,19,2,0
116.6,18.9,强热带风暴(STS),11.0,30.0,976.45,西北,19,2,6
115.4,19.7,强热带风暴(STS),11.0,30.0,976.45,西北,19,2,12
114.3,20.6,强热带风暴(STS),11.0,30.0,976.45,西北,19,2,18
113.3,21.3,强热带风暴(STS),11.0,30.0,976.45,西北,19,3,0
112.3,22.2,强热带风暴(STS),10.0,25.0,976.45,北,19,3,6
109.0,21.5,热带风暴(TS),8.0,20.0,976.45,北,19,3,12
107.0,22.0,热带低压(TD),7.0,15.0,976.45,北,19,3,18
106.0,22.0,强热带风暴(STS),5.0,10.0,976.45,南,19,4,0
133.7,14.8,强热带风暴(STS),11.0,30.0,976.45,北,19,2,6
132.8,14.9,强热带风暴(STS),11.0,30.0,976.45,北,19,2,12
131.8,15.2,强热带风暴(STS),11.0,30.0,976.45,北,19,2,18
130.7,15.5,台风(TY),12.0,33.0,976.45,西北,19,3,0
129.9,15.9,台风(TY),12.0,35.0,976.45,西北,19,3,6
129.0,16.3,台风(TY),12.0,35.0,976.45,西北,19,3,12
128.0,16.8,台风(TY),12.0,35.0,976.45,西北,19,3,18
127.2,17.4,台风(TY),12.0,35.0,976.45,西北,19,4,0
126.3,18.0,台风(TY),13.0,38.0,976.45,西北,19,4,6
125.5,18.5,台风(TY),13.0,38.0,976.45,西北,19,4,12
124.6,19.2,台风(TY),13.0,38.0,976.45,西北,19,4,18
123.7,20.0,台风(TY),13.0,38.0,976.45,西北,19,5,0
123.0,21.0,台风(TY),13.0,41.0,976.45,西北,19,5,6
122.5,22.0,台风(TY),13.0,41.0,976.45,西,19,5,12
122.2,23.0,台风(TY),13.0,41.0,976.45,西,19,5,18
122.0,24.1,台风(TY),12.0,35.0,976.45,西,19,6,0
122.0,25.0,台风(TY),12.0,35.0,976.45,西,19,6,6
122.1,26.2,强热带风暴(STS),11.0,30.0,976.45,西,19,6,12
122.4,27.3,强热带风暴(STS),11.0,30.0,976.45,西,19,6,18
122.9,28.6,热带风暴(TS),8.0,20.0,976.45,东北,19,7,0
123.4,29.7,热带低压(TD),7.0,15.0,976.45,东南,19,7,6
155.0,14.3,热带风暴(TS),8.0,20.0,976.45,北,19,11,6
153.6,14.3,热带风暴(TS),8.0,20.0,976.45,北,19,11,12
151.7,14.6,热带风暴(TS),9.0,23.0,976.45,北,19,11,18
150.0,15.0,强热带风暴(STS),10.0,25.0,976.45,西北,19,12,0
148.7,15.7,强热带风暴(STS),10.0,28.0,976.45,西北,19,12,6
147.4,16.6,强热带风暴(STS),11.0,30.0,976.45,西北,19,12,12
146.1,17.8,强热带风暴(STS),11.0,30.0,976.45,西北,19,12,18
145.0,18.7,台风(TY),12.0,33.0,976.45,西北,19,13,0
143.8,19.7,台风(TY),12.0,33.0,976.45,西北,19,13,6
142.7,20.7,台风(TY),13.0,38.0,976.45,西北,19,13,12
141.6,21.6,台风(TY),13.0,41.0,976.45,西北,19,13,18
140.7,22.7,强台风(STY),14.0,46.0,976.45,西北,19,14,0
139.6,23.8,超强台风(Super TY),16.0,51.0,976.45,西北,19,14,6
138.6,24.9,超强台风(Super TY),17.0,61.0,976.45,西北,19,14,12
137.6,26.2,超强台风(Super TY),17.0,61.0,976.45,西北,19,14,18
136.9,27.4,超强台风(Super TY),16.0,56.0,976.45,西,19,15,0
136.5,28.6,强台风(STY),14.0,46.0,976.45,西,19,15,6
136.3,30.3,强台风(STY),14.0,46.0,976.45,西,19,15,12
136.5,31.9,强台风(STY),14.0,46.0,976.45,东北,19,15,18
137.1,33.1,强台风(STY),14.0,46.0,976.45,东北,19,16,0
138.8,34.9,台风(TY),13.0,41.0,976.45,东北,19,16,6
141.1,36.7,台风(TY),12.0,35.0,976.45,东北,19,16,12
143.6,38.7,强热带风暴(STS),10.0,25.0,976.45,东北,19,16,18
146.3,40.3,强热带风暴(STS),10.0,25.0,976.45,西南,19,17,0
136.7,17.2,热带风暴(TS),9.0,23.0,976.45,西北,19,11,0
